	1068841_20180306_S	1112926_20171212_S	1128691_20171206_S	1128691_20171218_S	1128691_20180116_S	1162967_20180116_S	1255498_20171212_S	1282052_20180206_S	1316935_20180417_S	1316979_20171215_S	1447437_20171006_S	1465461_20180406_S	1470026_20180502_S	1565754_20171128_S	1565754_20180403_S	1586713_20180309_S	1593967_20180424_S	1593973_20180427_S	1593973_20180504_S	1598281_20180508_S	1651490_20171010_S	1651490_20180206_S	1658447_20171006_S	1664053_20180406_S	1690154_20180406_S	1723809_20180227_S	1834617_20180501_S	1845116_20180403_S	1862551_20180123_S	623361_20180123_S	634207_20180510_S	634207_20180517_S	639354_20171206_S	642660_20180601_S	650003_20180207_S	650003_20180213_S	652927_20180226_S	658355_20170925_S	658355_20171204_S	658355_20180122_S	658355_20180301_S	658355_20180321_S	670829_20170922_S	670829_20171001_S	670829_20171005_S	670829_20180201_S	673895_20180122_S	673895_20180205_S	676138_20171001_S	676138_20171009_S	676138_20180130_S	676138_20180323_S	676138_20180405_S	698564_20171001_S	698564_20180215_S	698564_20181205_S	698917_20171207_S	698917_20180119_S	698917_20180128_S	698917_20180329_S	701099_20180504_S	701099_20180517_S	715927_20180205_S	715927_20180213_S	717449_20180606_S	720054_20170925_S	720054_20171120_S	748160_20180321_S	748160_20180329_S	748699_20180329_S	748699_20180410_S	748699_20190101_S	748699_20190109_S	748699_20190114_S	752797_20170918_S	752797_20170927_S	752797_20180306_S	753522_20180606_S	756934_20181205_S	756934_20181218_S	763742_20170925_S	763742_20180129_S	768745_20171123_S	768745_20171206_S	768745_20190228_BAL	768745_20190228_S	770560_20181211_S	770560_20181218_S	770560_20190109_S	770590_20170925_S	770590_20180115_S	773911_20171213_S	773911_20180130_S	777599_20180306_S	777851_20170918_S	778851_20171204_S	778851_20180212_S	785991_20171129_S	785991_20171206_S	785991_20171213_S	785991_20180215_S	785991_20180321_S	788707_20171213_S	788707_20180129_S	788707_20180301_S	788707_20180308_S	788707_20180313_S	788707_20181116_S	788707_20181126_S	802187_20180321_S	802971_20180605_S	810653_20180115_S	825012_20171123_S	825012_20171129_S	825012_20171206_S	825012_20181113_S	825012_20181120_S	825012_20181126_S	848255_20190228_S	875028_20180115_S	877469_20190115_S	892355_20180123_S	895293_20180502_S	896213_20180427_S	913873_20180417_S	980574_20180403_S	983493_20180123_S
2,3-diacetamido-2,3-dideoxy-d-mannuronic acid	10.0859035190184	59.2603254500439	0	0	14.478967627545	19.8460893245546	97.0135726358082	13.9718548885221	229.705787588739	12.7161617561581	21.009368515116	93.0062074654213	41.2055635684932	93.1562645445445	155.40149312292	0.376297937597734	58.3277155517547	33.704144908992	13.0407614005783	166.598667608997	25.670557752765	19.1460703701053	71.7904612567804	129.568289045987	20.7040434116861	133.823001115085	136.490338634516	96.3156517996692	2.07417334759548	25.1730757592256	185.505038628285	168.163681322651	79.2696053268282	7.06499045469332	2.18410936359769	1.99274065928615	95.4659997492849	11.2706451552093	61.1849353167671	2.13985572880732	19.9830399816193	1.2299207926617	18.9416121331698	524.17061770047	229.74574869908	3.34122124602276	134.784863376467	6.73701278976159	1197.77978107783	50.7787226935719	271.297094616993	572.601720755831	16.4875891686995	287.263476145232	5.50944152994989	24.1098907596673	156.715879930562	176.706004438475	39.2963042387241	149.259141589354	13.1282598246476	172.147877622448	76.5552620500971	306.092243827583	15.8933085909604	31.1841945048497	43.5054655012299	2.52868833034899	5.63759993518373	23.5409222206173	13.7210059580928	5.4195547678333	1.59974721353174	0	9.94466533670562	23.5223405669758	3.35648233267277	24.3538306856233	8.92011647038548	6.48552860839005	100.672490237313	9.86162293019084	34.597104413228	8.64094382708724	0	28.2992204259026	17.6730923052409	3.19163754928366	0	2.84832493916604	6.17108980474193	9.09564998518204	6.63209559925084	90.8692902473791	63.9167154580203	170.123623942452	30.2604167653485	0.484972954801905	0.399628756303357	0.561346306786047	12.9500479342704	2.71844170830675	35.4989555700142	1.72379239062262	4.37555665284791	1.37606020360371	0	1.55486543333193	0	218.274463201773	27.5383517914289	56.8419895402493	35.8151740786505	25.3439268936326	12.1574677725966	127.99711823631	11.6706320881028	27.931496143608	27.7165447088026	15.0028853763485	6.84903784553274	11.0732704065741	11.3436099507281	63.5020215818171	0	15.2810740923954	490.780539551353
2-O-alpha-mannosyl-D-glycerate utilization	2784.89594813368	1065.43827230184	426.619709206937	659.08757798811	159.268643902994	674.767037034855	1518.13131232792	559.909147754848	2200.17516275472	432.349499709374	2163.96495705695	1629.06185263652	150.752061835951	2286.93510980783	1776.01706426194	4848.22262800921	2306.18813796938	2392.67329668216	3496.53402589826	1588.66239998453	590.422828313595	504.17985307944	2294.17343581451	1300.43769005788	2259.84633838554	2103.9616229125	863.707351873723	1300.68250476988	547.581763765207	2150.20022110052	623.946874451926	806.300598341765	602.449000483894	3224.7756430978	1970.06664596512	1156.78595271561	1120.56345773131	1425.73661213397	1750.20653589115	2950.43307887953	1749.18209972441	2960.41934793672	767.486061988436	1594.48307659784	2264.91017259176	0	1159.65844716356	1600.04053756838	25.4846761931454	113.194236004421	1180.06113490888	323.515010340383	535.846647982733	1206.50659980997	5046.6484414341	3538.28937364847	955.966867576429	1722.88354327513	1650.44477802641	0	1878.03211596801	1533.25330638672	2032.11186719962	915.001071322881	4270.96547226173	2313.86723225985	2121.03269469633	409.647509516536	794.901590860905	1828.54113348645	521.398226407526	1745.09663524232	3156.83450136931	2103.6089742298	2869.03594963957	1117.31117693135	1250.28966892061	1358.84434886722	157.588724310144	1227.26156743381	1255.60966990427	1131.10521608608	1676.69381631912	1518.21383041923	0	2859.23194945995	1420.6447276136	2383.86310044678	4947.18545321651	710.941904815843	3319.1951301505	1841.3638081113	1065.5566929463	3049.16951718983	1742.84532266346	1699.22095463942	2039.71565980484	1033.96233963766	891.971384069092	1144.58511953675	3501.49372992003	1194.07552037374	3691.89137928147	1312.66790545912	441.931221937639	2255.36267370647	1534.2980796681	2701.31954617535	3833.55163430763	1203.12419290986	98.3512563979602	2321.92595321974	2227.56337602901	1533.30757706477	2039.59400514384	1423.96794037894	816.944246167199	865.876380451848	2581.9863512063	1856.60706532313	4314.89384268562	227.002043334769	250.504719745245	2074.39937167269	2031.29600715605	1205.62405253106	556.217944824867
2-aminophenol Metabolism	516.160944796825	543.947408341455	912.767749931121	864.137046695522	593.637672729343	674.767037034855	561.105528217918	717.221884277467	584.421527606723	463.904419622803	625.904103679498	515.893807034759	307.534206145339	751.392287645007	704.063907618125	533.590475513588	560.843418766872	536.698383693663	418.914335361786	576.417330967838	641.763943819125	357.393313575299	601.635278575845	458.838161208724	376.813590092687	598.302834581792	577.560403996859	559.922477226065	676.180511316126	492.972733618168	704.106715961374	599.193748712815	628.872202259504	763.018969106879	577.696926671589	535.05086701833	417.619055083014	264.860161147418	555.072554401103	555.506547198379	534.213268841955	384.350247706782	296.75192341966	543.003094983121	565.748906171485	700.319973166371	1210.52065975846	64.0016215027351	2461.39497565462	131.178366958394	729.74044851469	1240.47166541558	111.94205277696	229.810780916186	727.246281953386	772.819741647714	517.162403770855	397.588509986569	785.926084774483	597.036566357416	473.999275774118	414.096033643063	437.58806591949	356.682995185531	447.902333017976	584.313844534621	630.546746745099	305.971287972228	239.597997245308	640.901607456307	242.404438592973	311.624399150415	474.59167334775	234.294173177691	541.984260850456	552.775003323932	631.01867854248	670.475869283792	84.7411064686621	439.020398106403	534.123489870189	572.891490223645	507.142920789025	437.663804841969	2161.11822431549	575.585929733983	583.21204607295	383.576803650273	907.403198106588	617.516846811197	614.55542607223	376.964160496989	896.069805409891	908.692902473791	476.402495448733	525.989328911906	566.76942752396	332.691446994107	329.294095193966	530.472259912814	553.863588573411	488.979702281677	922.972844820368	386.991391694778	433.180108631944	723.80766709555	492.232148425945	509.995862132874	804.666283636848	590.716160395216	78.6810051183682	404.271320730163	506.328245307981	582.910318553549	339.693952469609	351.992075149851	606.872868581348	740.184647805612	507.593191333758	371.857230399495	1041.05375252098	586.883331548427	1278.04672111536	465.681491599992	532.006097112299	444.731949447645	1145.15459228649
2-ketoacid oxidoreductases disambiguation	231.778018123325	554.136025699533	49.6069429310392	139.140710908601	48.2632254251498	203.422415576684	353.094444548347	442.442071469866	680.7833659376	781.494484224134	353.949500122719	494.337680825325	1006.35376390044	459.297919695813	474.661703484292	4.13927731357508	234.806444657064	294.242534919772	98.3692001944856	481.98798772392	787.23043775146	518.00757056896	396.018033563218	575.726984659996	292.444613190066	183.231493305557	556.933246711257	674.864771113329	464.614829861387	269.386873228935	1238.59592944949	1124.04144884088	349.667036830564	118.796506164102	635.029797466029	1598.84225563392	576.013953543438	13.1490860144108	277.359951738543	87.7340848810999	50.8457350643424	61.2910528343082	765.264514886398	698.894156933959	321.96313949635	1357.64956630058	378.075780288705	37.6149880761689	1856.84182373945	102.791650452612	991.831853294379	1558.36320420608	75.2065470852958	421.319765013007	7.34592203993319	155.519655711007	1345.14463607066	331.323758322141	484.654418944264	0	163.297126590792	635.391672834258	191.614649983379	571.299396030157	43.827002478103	227.059916238437	245.777629779676	359.495190964615	105.704998784695	373.810227428219	245.453551028105	24.3879964552499	92.9630880752335	50.3858436941271	60.0823530759298	147.014628543599	61.255802571278	177.103707502934	121.908258428602	387.635056055313	226.513103033954	352.648578116049	271.432567144431	245.690836150181	0	161.625607134843	418.716340770323	31.7229429140921	29.66634478529	1703.58314611521	127.819584231551	77.818338762113	308.02399560965	161.54540488423	248.854033634036	331.962188212814	174.474475043451	154.383057278606	79.7925416752369	780.645597303796	255.182354807354	1066.13885747655	218.910226015087	344.902127490409	76.5722414248385	34.4015050900927	86.1842635763512	136.482632481359	60.7295308405168	325.313522648251	17.7032261516328	49.6327615985591	158.71037925049	38.0158903404489	182.481207449464	343.992255260082	46.6825283524114	391.040946010512	102.261369203393	54.5640652675531	22.8301261517758	606.261554759932	264.054031630837	134.059823339392	145.092571939718	383.08071948867	812.514448812795
2-oxoglutarate dehydrogenase 	122.573392178189	428.171446199054	213.640567556342	235.318675992792	358.354448781738	248.737652867751	104.311440487241	551.888268096622	107.977346410761	539.738270688385	191.564589307968	104.656203765126	217.585475916556	288.511434697481	77.4893159585714	45.1369376148483	188.219051338162	48.0203816989067	34.2226071816822	190.217719219386	422.280675032984	565.766379436612	64.7674813512259	79.7617632567496	76.2598932330437	259.414587438113	318.755411415592	161.864583729026	128.183912881401	98.297364579254	118.02814501532	114.602073701375	197.645549281558	42.3637760968462	729.019303746183	255.220259938073	96.6816716562047	210.854986445373	267.238870219286	52.0127599148765	123.584000597437	122.489861609167	259.535163283932	123.091164016887	82.2298325552124	498.799782414585	500.908023705372	124.017177104861	521.055441999018	227.428730564022	209.857237620498	394.900019779498	111.17552450859	800.507553524714	35.9950179956726	101.826277370559	130.596566608802	173.7609043645	161.114847378769	1547.31976780964	220.71598929754	137.090883865166	88.7557850750436	69.1285614478624	91.6032513333537	134.079042956477	156.939845896861	249.918696649492	441.752934921105	104.345137742886	80.903116612162	177.490418646541	109.973733445788	156.615997482578	53.7011928182103	200.527953333469	61.0040663963275	19.3670939261861	282.519911098154	155.769093525101	245.43580258782	156.784515252158	93.6231398694547	106.074786264018	60.0310617865414	154.576069189461	154.798162345392	114.17357960392	18.1545131675199	296.111860675701	50.2624624786222	180.127557299142	107.587328610069	268.23268269319	120.339319898191	192.907538040701	119.528646223126	163.969356018524	179.153571450795	148.279626937534	88.4421863408441	159.07414729775	216.543628977086	130.361799540836	45.4328632454042	144.96794244965	87.6897608388242	70.1417073258628	209.769921111619	108.265683167517	303.249707227044	211.73872168741	102.986181934002	125.663637514262	94.8282486262531	41.8657240897929	42.5978071215754	132.209081746411	126.626567002961	241.671478604013	67.1205708862208	683.036229578846	86.5895559572242	136.882135409695	120.910476616432	119.209942373664	257.278065067031
2-phosphoglycolate salvage	342.327431204331	301.915763345487	277.79888041382	355.174972582481	202.705546785629	372.114174835398	266.787324748473	285.646811054229	359.403613234081	311.074994071941	367.445101425831	298.637119283501	133.66682816121	314.274430935991	313.974445289164	527.287485058825	337.06689467889	291.942093283126	303.559945935683	331.439965306507	327.299611347754	301.550608329159	475.026557500708	295.39192502686	397.258832961727	402.069106489268	349.345046794453	237.419485704432	148.303394353077	355.831914638221	263.498397934776	402.043959162181	410.880787610726	386.611977659607	102.926153759541	292.434691750242	311.784089068826	242.318870836999	478.899954813658	369.553084365023	247.123594439358	314.398502624148	190.643818414404	255.807816422684	273.062395068386	422.998609746482	111.896867708765	147.372154776035	976.381656649881	76.4325565543868	460.230340748468	567.143645428002	216.074194895061	660.705995134034	308.528725677194	331.02228394354	242.909613892371	265.059006657713	432.259346625965	149.259141589354	69.787065383653	395.07741846154	274.285273203159	309.549885107443	645.123844169439	394.480060486348	310.188318963315	91.6649519751508	50.7383994166535	338.106495393617	512.632028156523	187.652083836228	369.808230861421	256.967802840048	221.2688037417	129.372873118367	380.121624175191	353.379053417921	47.2022829891232	189.576990091401	260.769714295262	349.399593817343	266.439895572603	232.009341757292	1440.74548287699	438.511580796018	212.756841982323	449.585671146821	395.658750560335	367.718749646335	461.235763854418	126.58112896045	144.432304161463	116.11075976054	250.278534075446	320.346310632012	334.909207173249	145.491886440571	130.878417689349	298.215225480087	501.565318069627	328.761544098348	212.993733420085	231.203654392259	226.43505678488	76.7153563509066	195.714644121486	364.35679987745	191.677581715381	282.284853697058	97.3677438339806	344.240634215705	334.977216382672	247.103287212918	348.633267008283	283.993606086812	303.436434290674	219.960532130913	294.556220238648	303.272611536187	352.725449044936	243.61194894463	229.708101502243	328.093778172722	447.368763480797	228.425711001841	498.960215210542
3-amino-5-hydroxybenzoic Acid Synthesis	783.041862422617	679.310467527345	423.312579678201	538.254855356956	348.701803696708	445.710089413955	928.183911164219	655.728473564403	672.709806509878	735.339526738819	628.967969921286	665.252733954055	1215.89912985241	536.586908411341	631.648926128874	610.794269044056	674.320737164036	665.469616703098	551.468576758611	633.356116100027	785.091224605396	675.430815834271	607.357706647037	948.582519804563	892.603071586316	663.013956944617	683.768320233364	777.358103203355	1085.82974746623	719.443008938146	719.72344184103	906.461247129555	627.551042170723	543.742598698249	1292.17370223848	919.48375253895	949.773473161113	1163.69411227536	855.06094043067	620.558161354122	922.994413373237	948.320177841868	1332.34364356463	891.142362527694	851.255862627737	673.144707032052	1011.73417886675	855.600624299722	539.602623006251	1507.84595998412	800.028597978334	1039.01906695209	1141.15088103799	713.37096576066	566.554237329847	525.964869139949	790.109227983251	441.765011096188	851.419925172356	298.518283178708	839.863148255745	897.73092142063	853.281628885797	929.377579802298	614.78207322306	589.933496252683	559.355985015813	546.196679355382	196.141497744934	678.861344537052	1103.27051611183	1210.59304626476	865.107743139888	1103.0300948706	556.072536744123	739.973630336115	666.121889605016	459.160828198673	1639.3191824464	1080.67199132366	999.500719045916	642.649094284103	837.64371498043	1062.7640828665	1140.59017394429	655.051151376362	730.261237176813	747.616916847354	559.146107148836	825.397095287998	527.379916071911	1217.72225125692	913.018494163532	363.477160989517	985.38269664448	884.178209397521	908.016965235896	1092.80572482029	1257.49848650123	1040.73605278133	608.818279166277	779.116720441167	301.74112234512	805.441994518419	816.770575198278	365.573327424051	796.713515060877	611.66678519019	394.74195046336	1160.38604010313	1532.31257468022	900.830001713885	687.920541330942	696.957989574896	930.165475464152	829.314661906089	614.653289973417	921.739372739064	839.467112291447	1013.98965479612	402.951726578843	653.784340254812	753.08966061778	1035.43574079241	890.707177741046	929.423029424254	452.60871980847
4-hydroxybenzoyl-CoA reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.752595875195469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169902606769172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-methylaminomethyl-2-thiouridine	4136.70366390329	3913.67665130079	2093.41299168985	2050.49468707412	1570.96798758863	2004.45502178001	3956.5805704712	3930.74850863754	4014.38209738415	3714.53213965995	4314.36136361455	4386.5505817871	1963.79685884965	3652.54452631796	4100.69654301908	4835.61664709969	4118.83406742391	3985.11389566796	4960.80223501258	3936.50860173157	3670.8897586454	4027.05680117882	4295.33254334726	3422.26701067335	3097.84249547353	4320.7426368996	4085.49376961	4177.79669817924	1939.35208000177	3935.39084369227	4883.79250601824	3100.40724038551	2800.8593882146	4878.76840843544	2743.2413606787	3310.93860540393	2862.19223967425	2349.92951486113	3884.80257895969	4393.12381124142	3471.05404480727	3455.46246698306	2286.32273859261	3319.22412106734	3630.46146642192	4308.17067462175	2166.73025654245	3173.13302397771	2251.14639706117	524.713467833576	3193.18304897702	2062.16009658686	1087.96394317142	2097.02337586019	4652.72337204268	4381.48393156765	4270.50772810782	3931.70859875607	2907.92651366559	895.554849536124	2976.66017497799	3357.07968183548	3438.64493622655	2933.535654281	4935.59474061098	4233.05950281769	4268.62067352977	1239.057281871	1171.21138653442	4369.48942567434	1723.51080395821	2781.58648459044	3802.06587749377	2529.36935344518	3940.5736396696	2322.83113098886	4042.88296970435	5111.0738337879	951.479090174452	3058.17618226392	3021.57293615047	4671.88652816088	3788.80484915594	2973.78081809207	2521.30459503474	4235.78688589135	3753.49291190539	4007.24601755969	4604.73264710806	3194.68125176863	4760.88938625831	2453.29892655882	3083.92445365164	5512.73694167433	3493.49443035377	4104.96716685623	3811.58573878126	2797.80897625219	2305.05866635776	3096.94757453862	4520.06480782707	3834.36202956667	5431.34020221217	3501.88424154985	3051.95076536142	5778.76482503376	3881.56468107161	4418.92756152936	5245.51322634964	4251.60693540845	1038.58926756246	3322.89952512365	4378.22946653621	3294.71049617224	3404.80612149013	3791.91462775067	4668.25283524114	3044.53307965327	3446.90558461923	3164.26927107236	4232.70538853923	4210.6110720998	3424.82490429065	3407.94182489085	3192.03658267379	3243.27624271357	2574.96189751276
A Hypothetical Protein Related to Proline Metabolism	827.439614187707	732.956656882121	236.45976130462	341.749114512353	205.118708056887	823.612706969014	882.299113295931	751.892783445281	764.644209025552	744.680410991799	814.258928353212	873.951558865612	695.469511936519	1001.51515178842	911.265898448684	730.206147908404	819.953078237167	814.570333943354	719.817829901056	940.31006063981	868.520537301883	533.962629210715	840.936816098446	829.316296554282	788.13391920485	837.243903089966	873.362616986132	857.855149411048	627.0917420897	852.213502265451	733.715306068468	834.622902564527	584.833532633488	1076.75687855789	708.197461146552	556.804952548871	800.913256323589	751.376343680618	857.823372668795	813.858462189716	762.241958409988	709.459310567026	624.722429799545	646.581720037705	769.329166824281	728.60897971603	745.979118058432	826.406902210755	885.946451547817	741.051984309314	727.68270608047	760.822621454888	1085.36063961847	804.33773320665	1020.16492329572	946.150307649647	720.893047680586	736.275018493646	995.506374047678	0	749.462411743917	763.750986293061	843.013861983614	941.206352601818	649.699190581988	952.092438476192	1040.36446505971	931.400201678544	1003.9625884573	856.104871423117	822.752172079713	788.996848283732	770.544907851123	740.671902303668	903.307101417427	1089.86844626988	1020.51048256305	1039.92513750787	677.928851749297	729.206229430522	830.548044457833	892.209311769436	825.689430935209	804.687893897499	540.279556078873	885.613996364184	771.951608768664	757.288545784578	1032.19532236645	767.243794446692	941.055729189783	719.90385253089	939.05561021985	986.100075647485	805.771771423299	785.121364196412	760.054431908032	711.616982345995	757.030074023992	759.501553081522	816.683151136873	666.188121141923	485.152392790194	780.016056756735	1090.97212544341	797.885574722883	856.606123546214	859.149533328856	923.594948199527	844.562711507128	773.69655033062	852.352565105982	859.564177887612	994.749130575079	843.275338148241	1018.64373263063	851.956142431508	679.666406161128	930.406363558237	801.404127186615	1086.71400482453	688.388310275357	974.76270507159	832.58206073938	1088.19428954788	885.951008299337	611.839739307353
