	1068841_20180306_S	1112926_20171212_S	1128691_20171206_S	1128691_20171218_S	1128691_20180116_S	1162967_20180116_S	1255498_20171212_S	1282052_20180206_S	1316935_20180417_S	1316979_20171215_S	1447437_20171006_S	1465461_20180406_S	1470026_20180502_S	1565754_20171128_S	1565754_20180403_S	1586713_20180309_S	1593967_20180424_S	1593973_20180427_S	1593973_20180504_S	1598281_20180508_S	1651490_20171010_S	1651490_20180206_S	1658447_20171006_S	1664053_20180406_S	1690154_20180406_S	1723809_20180227_S	1834617_20180501_S	1845116_20180403_S	1862551_20180123_S	623361_20180123_S	634207_20180510_S	634207_20180517_S	639354_20171206_S	642660_20180601_S	650003_20180207_S	650003_20180213_S	652927_20180226_S	658355_20170925_S	658355_20171204_S	658355_20180122_S	658355_20180301_S	658355_20180321_S	670829_20170922_S	670829_20171001_S	670829_20171005_S	670829_20180201_S	673895_20180122_S	673895_20180205_S	676138_20171001_S	676138_20171009_S	676138_20180130_S	676138_20180323_S	676138_20180405_S	698564_20171001_S	698564_20180215_S	698564_20181205_S	698917_20171207_S	698917_20180119_S	698917_20180128_S	698917_20180329_S	701099_20180504_S	701099_20180517_S	715927_20180205_S	715927_20180213_S	717449_20180606_S	720054_20170925_S	720054_20171120_S	748160_20180321_S	748160_20180329_S	748699_20180329_S	748699_20180410_S	748699_20190101_S	748699_20190109_S	748699_20190114_S	752797_20170918_S	752797_20170927_S	752797_20180306_S	753522_20180606_S	756934_20181205_S	756934_20181218_S	763742_20170925_S	763742_20180129_S	768745_20171123_S	768745_20171206_S	768745_20190228_BAL	768745_20190228_S	770560_20181211_S	770560_20181218_S	770560_20190109_S	770590_20170925_S	770590_20180115_S	773911_20171213_S	773911_20180130_S	777599_20180306_S	777851_20170918_S	778851_20171204_S	778851_20180212_S	785991_20171129_S	785991_20171206_S	785991_20171213_S	785991_20180215_S	785991_20180321_S	788707_20171213_S	788707_20180129_S	788707_20180301_S	788707_20180308_S	788707_20180313_S	788707_20181116_S	788707_20181126_S	802187_20180321_S	802971_20180605_S	810653_20180115_S	825012_20171123_S	825012_20171129_S	825012_20171206_S	825012_20181113_S	825012_20181120_S	825012_20181126_S	848255_20190228_S	875028_20180115_S	877469_20190115_S	892355_20180123_S	895293_20180502_S	896213_20180427_S	913873_20180417_S	980574_20180403_S	983493_20180123_S
Amino Acids and Derivatives	74394.2077565809	83639.8451136496	99322.7140459275	94632.247788195	96007.3109133874	89402.0961581299	77276.248682668	92554.1944964696	65183.8799666327	89575.9155232527	78657.4458271237	73038.3525513396	65964.9482025973	66973.6263890641	76617.9198309527	78976.9900477013	73863.3666853553	73580.7813187881	76156.1253478625	70050.2475573526	82843.1682944648	92379.7895357579	74406.270450888	70074.0345505354	75459.854488877	73544.28629609	84729.8249714025	65080.2291862709	54657.4999530346	72613.1580076556	61786.9737123894	62762.4895719289	90353.1947859183	84329.1465414909	83567.0534029248	68542.4263323217	67619.0426538774	82844.4746903244	75476.4842959838	74195.2380645141	75487.9064592759	75555.4604156511	70919.0945584692	66328.5753727152	71169.9816155763	86611.0512222843	100990.374471586	74563.8780735101	120002.728680687	80328.9369085	74583.2814352915	86875.1973413212	77291.5597603367	88802.5791335645	81898.8584069856	73860.9792545218	71479.9785015668	74824.8953937263	78781.4178630524	84054.9302071361	62045.4391446509	71769.4006447278	79869.9539002939	73133.8081819287	78547.8271556028	73712.3182026888	72029.833373879	60108.3184116637	56040.1594699841	74048.5705779694	75349.7173155161	81790.1850082445	77717.6012408088	77916.5247290446	84010.6799786258	73439.939567747	85110.1167252497	85913.2286171805	75164.4411082261	70231.4448307882	76088.6809318369	78846.1063315981	69998.0410042602	71495.0169801191	88280.8218766908	77570.5948508544	65832.5115992794	77813.9638243558	81632.4893867841	61710.6443877818	77710.0229159534	75249.9678319586	66339.3047903332	58715.6005647551	74046.9503666366	72480.5705934023	75429.7923114857	76237.4921520115	75448.1336965989	70424.9398893346	76713.5034402453	65273.1033716377	58052.1182142264	78272.4155123741	85126.381755212	52667.7607087925	80293.137460347	81080.1708411107	65495.4615158777	74982.8338852198	79288.4131110958	79080.4098442941	77398.7230395638	84108.3169264095	80302.2745607398	67954.9652805912	77691.0921510891	66639.7947939481	77289.6979511919	79343.6255508433	76523.0604984318	96074.8051091222	83044.803887732	75370.8518060376	75598.5270109971	73071.8380230235	97193.02510799
Carbohydrates	65409.4475864629	51046.2621359617	41383.9307143137	43357.4660516719	42211.016956836	45662.543854246	59830.9359327601	46446.4474646747	67595.3814775417	46725.1988452524	62094.0348571017	63278.9369351756	47458.3570879502	60733.5508399673	62336.296080168	71181.4147194054	63229.1505257258	63943.5679197108	67699.4223420319	63682.0009353562	52811.6106221343	45621.2564778869	67085.116742132	66741.6162708374	72040.7715065017	65078.8255626003	56026.9579683282	62600.6901715135	57367.3481695726	65385.7182242874	64680.6601686529	69536.670557324	51410.8309987499	65560.6779228418	46912.5760252716	52613.7171987621	70333.496704427	51777.5316871172	62658.8927513305	65535.207284748	58409.4933244073	61320.1097130348	54484.0389875042	61480.0345250125	66240.1347192599	45855.6999987071	70980.5912460944	71486.61113748	47797.855224821	41518.7112968719	63022.141795954	55394.2711360871	69355.6946640227	43683.199272485	68904.8405585989	70577.7954869109	65841.3038283604	63929.2873057663	57507.5214997569	51355.0953161771	64800.5146935909	63368.2873134822	63598.8652849207	70896.2532550225	71134.4036836794	68655.2135757777	61696.3248070594	65137.1570183477	68579.66495153	71312.6137700916	77224.9468723922	60375.6917948753	67626.4694570081	59870.4329229065	75412.5104896229	61911.7804698039	66086.1442669135	65497.5981430931	48854.9823462753	58812.7024499029	57802.9279674938	58509.0088448222	69435.1368734896	62170.5539226333	68681.537789982	66552.2031381686	64084.5812705191	69128.6835293441	78072.758341313	67051.7148060894	69630.2859666712	56204.4299213062	57692.6733078341	83275.310006113	63145.6024016844	63990.9795085278	65969.8076944874	56942.4205259289	57025.2251950856	59467.2595000474	66352.4262428301	63335.4442383781	81742.2616925527	61577.8863752847	72143.5946846027	84368.86559733	62416.8255620841	66336.7442951086	81067.2181197263	65593.2257449138	55066.8028897137	61923.8759849457	64782.3347174945	63189.8017245034	61249.4299101157	65232.1313451572	64103.0863597877	59171.7107678942	62442.7937860426	62125.171215965	70487.5578910847	39859.6209872643	56746.8341638903	70972.3288429003	70739.0773793654	57709.4329857087	49950.0073804048
Cell Cycle, Cell Division and Death	60795.176390934	56091.6654516818	37545.3454703099	42721.5685921686	36601.8648979252	49947.8106916504	64077.2025271065	54144.5600257719	61005.3255727935	54991.3554938081	59866.0496854306	61482.7384065887	60015.2333283467	62268.5818145227	61783.9336301222	62679.1823265148	60588.325814559	62875.7885098085	63560.5208025012	60553.5075873276	55843.3034927358	53357.8644132736	61520.6667022595	60016.5465893909	62401.9868428219	62461.1356415355	58431.1628688867	59821.763654234	54532.9902900834	62757.3169702748	61199.5475379307	59530.3562218218	46774.4398605229	61507.5190656156	47538.6873761697	54582.1796343493	58263.7339316306	63781.3323096729	60040.5125381505	65562.0981384067	66096.8355850697	66695.8680122804	59677.945957951	60497.7115849745	63027.7786063385	53220.6648920819	48178.9765694494	60404.7865160547	41233.6397543716	64165.2282006629	56663.0786910351	49556.4460824194	61576.0980287594	36368.5136249069	64923.6262850315	61445.5553239512	59571.8850517381	60856.8116535924	57242.9263845494	42916.9785116589	67294.9531563785	60517.2204363938	64583.106240781	63601.7948336865	65462.6116245188	62914.6906204738	64822.4655895781	75957.582963133	85472.4042973119	62784.4831120992	61065.591109195	63125.573884074	63429.2304678339	65437.5647926707	57966.2526005956	60830.1448427326	63748.2564248055	64696.8292796413	67311.3971103393	62238.8741772311	64035.4406582364	62314.8614076578	60966.1595013117	60157.8548809226	41301.3705091405	60399.2451370666	61708.5699569434	66189.7172860454	58852.9654277857	61489.6197978835	64613.3247263428	64259.0490780916	64877.7137368433	63603.4548792628	62009.4951713785	61700.8546628429	60851.9124779103	63131.467551694	65292.638337821	59179.120440774	62415.9769285741	60150.1101666696	63470.9492606664	60813.0827863751	65305.7664513089	65623.8524231262	63029.6720419151	63205.5390091819	64020.4388127933	59837.5198909383	63748.1371569531	61829.6938917075	63787.6209268338	61958.0868774728	64365.4246574904	61402.3509032616	66790.8329296778	63490.8511215674	64784.0990829998	63594.6949082894	57554.2914261038	53545.998655283	66783.2348629211	57669.713688536	59397.6746727441	63963.203775795	45870.5304733119
Cell Envelope, Capsule and Slime layer	29844.6857449938	25161.3519793825	48689.5215774141	45642.2681163387	49251.3804919973	38632.0430847257	28306.8125028291	18320.5614562534	31907.532816972	23785.7285837078	26632.5843575438	28850.9061615334	35134.9120401922	31196.6924427105	29570.9710614937	26311.5330630278	29592.6572884029	28976.3766119804	29932.0264840059	30154.8709850313	27218.3090241299	20632.6107814046	30760.2265200862	29708.2312888712	27977.4527347577	29565.1129957224	25830.0724416988	31774.1778440881	33803.5043138953	30092.4691482355	34312.1261355349	33370.4135655528	40583.4836844977	30782.6755294545	25784.5576946866	34071.5168289973	32636.4473127912	29164.0555779666	29534.2461999174	27447.7623208688	28168.987637023	27688.1833353905	32655.902220873	30998.519169429	28061.7930456357	32860.6372927033	32021.286853215	28019.5329419913	28151.5262011571	31564.7794366485	34032.8071755562	34837.3164650106	30645.9014089897	27689.3264656389	28348.2542127683	25168.2498021498	34734.1344947624	29434.0664143205	30652.8014335293	23595.7380118256	28129.2280749384	33570.5820769953	28990.7766828585	28747.3599457321	25881.8195865084	29341.2039691079	28237.8398544658	34569.108136924	33501.2765405454	28100.0982320658	33067.4791631734	27492.1561299919	26408.6371581072	28672.8021468542	27972.0764452339	29090.4986209749	24271.9564556516	26237.1154893141	34566.8884526195	32713.1702206732	31423.23995274	29471.1379586844	31893.2563201528	33200.4761131251	27110.0275028021	29758.952450261	30459.1570370008	29521.0874352924	24581.2062222466	38508.6750049203	26768.1082501004	31820.6165342449	28800.7418739335	26086.7462284197	30586.7991561798	32311.9918291966	30515.5876323593	33982.7916399818	33504.1574997062	36309.3559983239	30780.1103420457	36407.2969205207	27412.1244485194	29255.9561454575	27104.1773262258	27225.1676536055	28409.7806453084	27068.4474815249	25475.4778853777	30706.2136388905	32824.610054597	28858.9236786683	30229.0134926329	33245.590043578	32293.1767155446	29283.9121222071	26084.1128018832	28664.1326370986	28190.6955986425	29204.853964134	29425.2277655689	16095.3544625042	29537.229824639	26897.339608005	31066.1620976516	28862.0948177096	32546.9761889176
Clustering-based subsystems	1192.11424338516	1050.36327723122	1172.37741793689	1111.90515471698	1295.86760266527	1396.66853621553	1460.44756643636	793.722102093016	1425.1134576934	998.885903876477	1131.29613518201	1441.63658299158	2268.31602375827	1205.57173126694	1328.84133915313	807.880313860869	1298.16556663905	1682.58581195668	1108.08905925572	1485.91483915957	1379.79247921112	855.722978486096	1225.37993833584	1531.44170386159	1334.28933103562	1165.35029707953	1210.93116618136	1715.85070064688	1869.17588174146	1492.55361689075	2257.29391529873	1943.76563928823	1583.19017305526	843.219694083305	1250.4936152165	1790.3944515078	1690.08190941914	1519.65865509405	1258.69931054392	1163.79620237401	1247.49677929698	1376.89632738478	1980.91847382817	1596.3140118892	1530.92036919585	1922.5387049615	1189.75192294887	1599.4791198359	806.483815362246	2044.01990342562	1469.06564468351	1453.00581075678	1635.05541622316	1024.57306491799	705.208515833586	882.617487404578	1722.5687135701	1328.97640838103	949.660685769167	1044.81399112548	1771.27863476232	1638.14979218172	1347.34241276729	1512.99103161862	853.663317499314	1122.17623267139	1151.76482369165	2142.00973983312	1780.77687952616	1415.15273057482	1704.32680488717	1364.59872758403	1101.5148313618	1483.44321476126	1208.89837999328	1548.55408732591	1027.22344722839	1083.66262935144	2009.25623495433	1414.5104190504	1581.39703414446	1370.49802388369	1471.71300460254	1556.88205404544	1200.62123573083	1110.3232823651	1598.16867403867	1264.3236928185	750.848737310302	2106.66859708952	997.092061899509	1541.71267248836	1741.29354455886	1320.97023785542	1499.87509520046	1383.21310430867	1297.44944586022	1546.09377990847	1702.75152581589	1735.77633830025	1249.26456001817	1749.48714190216	1493.9143802381	1535.82719536181	1261.61883490448	1485.91567652473	1293.52761167696	1080.80423899162	1232.30339663882	1481.08358401168	1879.82034728635	1260.69062980325	1239.54444797369	1148.92468584468	1408.29961242269	1513.29926248137	813.054035471165	1245.27920306919	1283.92817401071	1398.79580412163	777.365795467966	659.320975458099	1677.90897187853	1467.60227655755	1321.95454433965	1722.10679240104	1106.43746083299
Cofactors, Vitamins, Prosthetic Groups	81184.8982738259	92681.5687285233	62523.9294443761	63756.4706969142	60989.2727052534	74626.422766734	83371.1482334164	98311.7149804288	76043.3978002696	97879.4760775878	82096.9233117901	78726.7997347628	97686.9005637398	82467.350959469	77487.8359443512	81713.2163103616	81759.4544713446	79418.0610240835	80438.9743536678	82658.9247771538	90922.5485045183	98657.8923771732	78136.8940980997	82315.3680041953	85077.0551873003	82539.6966872413	87297.9332219547	84845.8991290629	103739.43428443	78637.3672243249	83678.8675787226	83776.1662925212	73198.2581775071	74372.8405169808	100302.728998367	83934.2033567881	92600.3988609302	94363.0069517747	85817.6141143121	79957.2357373052	86713.2713239731	91638.5899420802	96444.9714214012	81064.1369009894	81375.529370501	94085.7609140711	84862.1606185555	88499.7018190117	70380.5347072391	109313.912910088	84713.7578547279	86434.643238648	96125.37109085	73995.2412753299	78349.4007013154	70735.4220429857	79925.0987645865	81627.8662003166	85469.4617192249	66037.2195438498	94213.3674211836	95083.6777053372	83799.5943899886	86612.1549096597	74388.823506155	78556.312271797	81002.7508826006	85911.0059690529	85100.557601587	75822.7503973167	92678.3314697754	95468.4379905059	82853.1300599391	94139.2728181871	84355.9966435557	87910.8274789777	76990.9358054755	72218.7418281408	113542.527196851	89642.9597956065	89496.9116682841	78589.4059933243	88633.2810703434	92155.0466482445	75795.2186116872	82990.4285791947	86004.0418426857	85462.5947167156	78118.2252392992	83580.9431935613	74173.3004167887	97379.3088698753	93650.2007780969	83901.2984500392	90567.0253204883	86111.1147786969	86404.6262436721	100913.495750483	102012.233549667	95661.7840920855	77568.8114138384	86224.7064320606	78062.7949477207	86916.8444459245	79277.7210292386	79812.5009198307	82851.1580936388	81514.4941174477	75720.4890086424	89307.1741566495	108127.502418926	88279.0942161789	81536.146457751	87365.5847877303	86191.6073587724	79928.0671433265	72477.9319462102	86920.0228492936	87263.8925152934	91320.0002929149	71888.6427330193	103693.795177295	79549.3177464567	88673.8701478406	87979.2992051803	87316.6545553484	68420.6965799331
DNA Processing	116062.34816822	103146.443168681	59922.7067135487	65996.6361425427	55547.3527224406	83281.6330893276	118464.278641158	96502.3080247543	110853.617066237	97254.4217808944	109795.470504369	114666.319781813	104811.041000608	114665.807165663	109004.633048598	109009.185095781	112674.564517102	109396.485556464	109912.715822655	109736.738120937	101826.545752634	97223.2135041067	116630.82237432	111894.698940154	101575.417247292	110867.105521338	102585.87519229	109736.521828647	103871.144292002	113587.822940156	109526.733445775	104865.544064795	85191.4852314386	117347.267288794	78062.8897962425	93092.208392325	100988.666120549	121901.419557884	113691.160781079	115445.14524063	119234.580928548	114150.742401422	108168.180710036	110588.753160866	113516.895795238	94021.0748707481	79730.3329084397	109451.755453397	75826.4684281799	107362.528912576	96983.242062789	87591.3582572142	101113.611648454	79806.5813977479	128063.295402665	115483.227248572	100683.423027055	110813.071658386	109283.022087892	102043.499799922	122715.487429502	105560.111288309	113249.694016772	105648.350626861	114442.658201682	114440.276730472	117498.374713026	113422.839989611	117819.496345413	114596.228498206	94839.8472750402	117471.333555389	117090.475549719	117545.55463606	116373.716853296	103086.657534772	114633.661400912	114570.069957671	115275.408489831	115833.037606294	117984.19690921	116265.973382856	111256.90426456	114908.423138449	84823.8903043831	113225.644155323	110489.454155088	111598.653473818	119460.404935379	103886.29089705	114413.920145717	117871.370347787	113649.186804369	115091.004392208	110991.871871266	105730.460766978	111089.465804277	116827.479118179	116888.414003059	108640.625272427	104570.972964211	104775.058151694	118732.173396507	117248.479877271	117834.105290915	118914.30658472	130608.542253806	117677.226116513	123967.950423883	107006.231122154	111994.214847964	116378.890153701	111131.734654318	106886.955676942	109917.573185813	112032.14434296	123718.42566063	118452.819895684	115281.66896507	114515.595231442	134145.255242604	96174.5831849647	113251.687070512	105974.290349789	115332.473295194	113141.16040236	81172.3746832406
Energy and Precursor Metabolites Generation	62286.7331992862	65117.8447415893	55087.1872731076	56681.2876004671	55262.8410085594	63749.7735124119	66013.9342954154	68052.3341230462	62097.4958571836	68191.2102151368	62990.7409670376	63547.3470370326	64146.0408254009	63669.0651146829	62815.5035416144	61323.0798190001	66003.1568540694	60637.1271057677	60230.2377014707	64760.9089030152	64687.2384811925	68041.1985142227	60234.394927039	64727.047304487	65218.9789894159	67616.4617242535	66066.0198689557	64842.6733102226	61273.5696959876	63533.8888761442	65024.8780826664	65794.8663846939	59601.7593171709	60748.4512578369	72248.9362776367	57301.2908701175	66824.7696222559	67662.566812955	64856.1137209889	63991.2728450037	63851.5634161127	65363.5870616495	65614.8318181447	63453.2073323022	67654.2676662005	70176.1376011907	69009.5957376879	78507.4205910103	73552.0672640924	74328.7834942913	66975.2924467821	69112.5315065626	72952.4622411742	74554.4475088927	57164.8634264541	58868.9247822791	64946.7173470899	64812.0810529402	61380.827220887	110317.431548692	67731.5023436002	64260.593681432	66137.8726446296	68575.6906732495	63169.2071948431	61032.7504689353	65108.3398150511	64015.9787574764	64346.4851201993	63913.4665069297	67616.9903151299	66579.4561376141	66244.5544890522	67082.1167426438	66743.4970989832	68492.1552434156	57848.3856192071	63989.0440044365	67267.9363206472	62224.6060142926	65514.0212509627	61528.3319992891	66939.7574302994	65619.226611889	117678.890420157	62466.2252504067	65138.2147812606	63385.641251534	60246.8321883172	55576.4022800101	61665.9980491847	63777.7712873016	65066.7775880563	63074.7302311938	68640.5695000597	67732.0870074337	65371.605599819	65128.1012066135	65844.392440691	63342.6353539782	61087.7004735315	61471.1425782417	65147.68326209	61643.4623108114	64041.0118008032	65228.0287055596	60503.3603602818	61237.0966468666	62034.7096741642	71457.6556519734	69330.1610650757	62316.8620911669	63952.8740127216	64097.3255066862	65657.8588344054	63206.3102884044	60287.7622196521	62774.1754830161	64202.4864134439	64928.5139302693	51202.9503306797	70892.645856195	63472.3344635666	78071.8548557473	67281.8438179797	68126.0318253581	62648.0268113882
Fatty Acids, Lipids, and Isoprenoids	36450.403051846	31361.1048486762	47982.173815925	44606.5939375732	49823.3686607503	45399.9375651478	38072.9765809228	31761.7421328931	33736.8079155103	30361.4857055208	33805.095229569	36788.3377855649	34039.5475588922	36812.8062594453	37377.4721900802	39222.5213699243	38989.9680068202	34389.395266705	37585.2867233067	35926.5022378769	31020.9131921973	30555.5783907057	35518.7561730351	32814.134312005	33935.2803088765	37220.2658843864	34280.1849178048	33882.3674039027	31378.1536645201	34740.612656624	29337.4509906753	30955.1300291844	40445.6426485683	38251.3087007025	35468.3707864492	34893.4843939879	29908.7400547862	37429.8662301888	36973.7902444391	37766.1099619367	37778.7078596505	37030.5767533464	33831.7637613096	34954.9610843296	36025.7516448409	33089.2118292014	39898.6446891528	36454.2408737596	45141.7300180405	34320.2253652405	34842.0089727017	36361.6222242922	28983.916263791	51160.6675565453	38600.2754825708	40549.7736500153	34385.9267348785	35205.7262842922	31699.9543788622	31252.0212175423	36176.5585115765	32619.9108748667	36224.8088994397	31368.7806476905	38948.4791637959	37452.3846585092	38501.8607492072	36049.0229822607	39090.5743248559	36214.2309454108	28646.8614351364	37660.1054224697	37298.5582755625	36641.3593169687	37865.295897153	33965.8397369173	37979.1550100084	37976.1577133636	37050.3727684814	36353.1363295339	36524.7717878814	38330.692223987	33209.9996119385	32572.1560548412	29991.5184685561	36762.9132498201	34729.4487151406	37826.7397145831	37272.3487504365	31790.8423130533	37553.8204529452	37326.0979699583	35740.0122798338	37157.6066779025	35405.9832451506	35562.8893012879	35044.0278451374	34957.8597877462	36096.9983484483	31325.9039194189	37655.5137398931	31240.5133413083	35462.4423585707	35486.7412343274	34300.051109627	37917.6141223409	37834.5862468055	37769.4238121341	37268.2490613496	33364.3459778686	34575.2436849081	38585.6496676248	37871.4800601962	36602.0612758826	35406.290449548	35842.6216004052	37105.5520864757	35365.3308351048	37830.7660517185	39478.1498921444	37393.7571541869	29524.9508992734	36075.8644068233	33207.6766081937	36611.4620137858	36313.2845515779	40707.0362068594
Iron acquisition and metabolism	14719.486253344	19893.795219063	17385.5799325649	18452.0111185634	17666.7536668761	13649.1479329624	13120.4302018807	26852.1801753828	10533.1302417675	20910.7075752684	15717.3420235862	11095.0269680061	11629.3490546071	12157.0631389322	12299.9753230284	12948.0357348004	13250.8605073986	11284.4687073868	11881.5826094158	10687.8551696894	16382.0942725562	25194.1012659064	10848.6831815138	10533.0698095091	13087.8885090023	11165.9191662841	16293.698752878	9018.66441419021	10027.9367445083	11208.3119817952	8833.3798321026	10216.3861763545	12627.6481285637	6560.75946927873	7416.3253532096	5397.67019911974	10096.9894716104	15313.9891046406	11519.0485572109	13753.8513683847	14731.7191082273	14781.1880862083	12961.324258014	11112.7309698713	12170.3024003573	11288.6501018125	11299.0405279555	11072.8419377057	17304.4490889817	18078.9884290051	12147.5034026051	13213.8349724508	15443.3028740276	11969.3115060513	9018.95578452798	15737.0252731479	9585.78798908605	12207.4398066247	12784.3976456649	9851.10334489736	14163.7801083602	11729.5838620562	14591.8557371504	11907.8739263436	13042.1453528245	13551.5464915856	12896.2629878646	4463.97779917608	2663.76596937431	10056.8781469996	12807.288598365	14080.4549163949	13882.7840687189	17519.9976165096	9219.9478502932	11028.0573358172	13289.1526756347	9732.66880525828	15095.3148780229	11191.3616483957	13099.075639443	13103.4976867847	11049.8369782232	11525.5789080299	11766.0881101621	12047.2139621436	10973.4042748093	13866.1176910075	12918.7257731856	5534.86502178745	12589.3778620071	15219.3805566872	11872.9249216811	11362.0268101908	11824.0968813194	13541.874053899	11110.6163556771	15260.6439687515	16920.4147514696	9109.43430880617	12428.8915180438	9693.51005820383	11679.1563825347	12134.3492350562	11657.212182629	8761.60465971207	10810.9976606193	13542.5323986693	8685.58810875309	9618.21483324158	19770.569561118	16570.8725539711	12368.173448494	16097.6175652723	11046.7281434512	9429.12104340814	14043.6606126838	15080.6802928697	13516.3443927159	17297.0765984818	8995.06970379966	28980.5941990722	11239.1542090984	11592.6468287695	12050.7441694377	13560.108989438	16946.1067189976
