	1068841_20180306_S	1112926_20171212_S	1128691_20171206_S	1128691_20171218_S	1128691_20180116_S	1162967_20180116_S	1255498_20171212_S	1282052_20180206_S	1316935_20180417_S	1316979_20171215_S	1447437_20171006_S	1465461_20180406_S	1470026_20180502_S	1565754_20171128_S	1565754_20180403_S	1586713_20180309_S	1593967_20180424_S	1593973_20180427_S	1593973_20180504_S	1598281_20180508_S	1651490_20171010_S	1651490_20180206_S	1658447_20171006_S	1664053_20180406_S	1690154_20180406_S	1723809_20180227_S	1834617_20180501_S	1845116_20180403_S	1862551_20180123_S	623361_20180123_S	634207_20180510_S	634207_20180517_S	639354_20171206_S	642660_20180601_S	650003_20180207_S	650003_20180213_S	652927_20180226_S	658355_20170925_S	658355_20171204_S	658355_20180122_S	658355_20180301_S	658355_20180321_S	670829_20170922_S	670829_20171001_S	670829_20171005_S	670829_20180201_S	673895_20180122_S	673895_20180205_S	676138_20171001_S	676138_20171009_S	676138_20180130_S	676138_20180323_S	676138_20180405_S	698564_20171001_S	698564_20180215_S	698564_20181205_S	698917_20171207_S	698917_20180119_S	698917_20180128_S	698917_20180329_S	701099_20180504_S	701099_20180517_S	715927_20180205_S	715927_20180213_S	717449_20180606_S	720054_20170925_S	720054_20171120_S	748160_20180321_S	748160_20180329_S	748699_20180329_S	748699_20180410_S	748699_20190101_S	748699_20190109_S	748699_20190114_S	752797_20170918_S	752797_20170927_S	752797_20180306_S	753522_20180606_S	756934_20181205_S	756934_20181218_S	763742_20170925_S	763742_20180129_S	768745_20171123_S	768745_20171206_S	768745_20190228_BAL	768745_20190228_S	770560_20181211_S	770560_20181218_S	770560_20190109_S	770590_20170925_S	770590_20180115_S	773911_20171213_S	773911_20180130_S	777599_20180306_S	777851_20170918_S	778851_20171204_S	778851_20180212_S	785991_20171129_S	785991_20171206_S	785991_20171213_S	785991_20180215_S	785991_20180321_S	788707_20171213_S	788707_20180129_S	788707_20180301_S	788707_20180308_S	788707_20180313_S	788707_20181116_S	788707_20181126_S	802187_20180321_S	802971_20180605_S	810653_20180115_S	825012_20171123_S	825012_20171129_S	825012_20171206_S	825012_20181113_S	825012_20181120_S	825012_20181126_S	848255_20190228_S	875028_20180115_S	877469_20190115_S	892355_20180123_S	895293_20180502_S	896213_20180427_S	913873_20180417_S	980574_20180403_S	983493_20180123_S
Amino Acids and Derivatives; 	1085.56952728964	788.058363002337	300.948787114971	485.771955628273	485.045415522756	959.227650686804	1295.04379507305	615.969059344597	1126.39175886768	766.619714762455	883.195918793436	1139.04347050859	1496.13046257635	920.984461559434	1168.154080958	1044.85394006304	1020.17417873694	1170.49680391085	1123.38377941689	1155.29497981176	969.063555166879	829.66304937123	1072.8902357569	1279.63544181656	1417.45057207256	1190.45461193744	940.949472772999	1235.58285867982	909.87070847855	1182.34790206613	1547.31964337102	1276.27383403823	709.462967675113	910.075437089755	892.572693256924	1002.09945903852	1074.43943538053	1531.86852067886	1107.14757594807	1105.80611212333	1152.68835627307	1318.52633643304	1408.69470975574	1154.79704448482	1177.52673491219	997.465915979329	1799.25077054434	1288.17298717566	1443.06978943685	1500.61704460066	1070.13436802815	1203.58830789722	1333.03604708687	545.800604675941	725.409801443403	739.152777073404	1260.25686777494	1067.59877681579	851.419925172356	1442.83836869709	1440.53861532032	1204.83907515939	1159.35168051409	1414.35726458262	1061.72117541734	996.88723454097	1193.85777407921	1175.41862555722	1108.2581872582	1151.78866323166	1315.69201575934	1431.21408827198	1149.41837292256	1454.05147260635	1139.07854210849	1253.54473271509	1020.16084898673	1155.15023439121	1526.57882150125	1210.79830250482	1297.78957900833	1161.53099845984	1217.36803171098	1198.85894814313	240.124247146166	1017.80336082387	1248.55865574397	1161.65935164988	783.900914924348	1081.55645148366	962.158019039332	1348.43011030324	1377.51081928143	1218.32159516856	1471.26121676868	1303.97322616108	1236.38337959502	1381.52629057903	1478.69300311514	1165.77594261792	1050.03305333709	1109.94541292187	1230.63045976049	1188.26755460253	1265.26513211519	1170.79788989949	1216.6163384854	1110.51944505085	1013.42404590112	1838.12792554892	1675.90540902124	1138.68831079003	1131.22110284365	1076.06089602548	1176.1158161382	1082.64229174879	1100.9296269777	958.981367597208	1221.92825618988	1252.91953470339	687.186797168451	685.158606406772	1290.57195710262	716.161687839382	931.010669946523	1364.23106293833	1782.07867028202
Amino Acids and Derivatives; Alanine, serine, and glycine	3136.36990949006	4241.06395804147	7896.59853223926	7147.4386235155	7548.36845649343	4928.44551559772	3230.94526703986	4852.80468526217	3269.79156822746	4866.4044587386	3539.49500122719	3160.5156281674	3175.84343601069	2979.46492260326	3428.87580234143	2707.30687020837	3204.47234702765	2813.17262840387	2864.78158471469	3124.95517660673	4836.76092325014	4662.5999704087	3261.13372466263	2858.03079170857	3289.09609648898	2649.15532924907	3906.4324893435	3210.94293212998	2727.53795208806	2934.41145621084	4149.8063896744	3771.51308966393	5869.91427445163	2753.64544629501	4919.61533694698	4363.02264264622	3058.84504814656	2700.72834531702	2796.16917652246	3069.19507182833	2684.83243841934	2746.77185691144	3415.16097525735	3160.97899945617	2864.96139540929	4943.22545944914	7066.03288474552	2625.1893170771	4611.31057561524	2723.89057948955	3650.5975316576	4221.57317174229	2866.27336879455	4375.98028661237	2674.37474266318	2746.464087483	4150.35888682772	3129.168828598	3255.04386777432	2537.40540701902	2283.85656879308	3912.60624212052	2896.11425270387	3200.01667432352	2923.64635761895	2896.78428474894	2811.94092063253	2169.4038634119	1584.16558178663	3167.08777966835	3307.01652860329	3038.78952128053	2760.71931632981	2700.26133997443	3340.78601154954	2372.81610469369	3332.98695634406	2849.19109982094	2786.42138243667	3200.77466384583	2963.77946953275	2959.40423932983	2743.50818837823	2658.74640772952	5282.73343721565	2923.6210983159	2882.75324871256	2852.69531317867	3011.13399570694	5290.33632576004	2952.05075280172	2689.36473126683	3047.32511127059	2201.05614154763	2495.04349052941	2816.80832824492	2315.73973165092	2557.18156184464	2525.78694942265	3086.09487927409	2942.6493536796	3816.12581644012	2032.31520638331	3139.8878395191	2937.45703294523	2183.23418470091	2450.25134167702	3238.26640915264	2115.41199094467	2451.14926992408	2879.72478733227	2769.31400260117	2981.55472052138	3211.28673681403	2838.47074775001	2630.60744041915	2748.43385674822	3077.11982515415	2708.34118737878	2945.03067822155	3677.93332305108	5250.11433151695	3106.65240018655	3540.2377031863	2204.6010236396	3065.08486723386	5088.3035717263
Amino Acids and Derivatives; Arginine; urea cycle, creatine, polyamines	9683.65395514227	17713.0152425014	32510.7368322387	29473.4200615868	31280.6029786752	21676.8910647447	10339.15595395	22518.0590413526	10132.837956593	19810.5240988838	13416.3784760036	9599.37896765827	5906.29828044162	11695.7178288068	11873.4140817012	9765.99765815107	12488.1134578757	9846.15769805625	9445.37518332256	10396.1317643825	14482.4729988516	21906.2955151288	9703.80740172493	8367.85294256168	7381.07774311364	12623.019608545	14242.6863759692	9701.01728262518	6791.53493114347	9058.02435418164	10620.6373794512	7642.59678011102	23266.5099368166	10822.2570450245	10500.2877746095	9722.58167665711	8172.29480250776	6780.23228128797	11009.8793980859	8645.30245847873	10358.8748758051	7497.18717846819	5842.72734012692	8732.77665327623	9262.7423140434	16299.7023525559	18507.4876079667	9201.63663534937	26342.8372685659	4960.799103147	10362.3576898019	14558.1754653172	5390.57389031374	17690.6424059439	16381.406149051	13085.1544958076	11436.3413379328	10915.2771491683	10845.7799698879	21791.8346720457	5946.75622004366	7050.93917133552	9953.16554423121	8011.96144916831	9383.55387672659	10776.8678184447	9995.33361507046	7721.56054074816	5990.18483113001	10282.282477262	7127.30031712042	8308.85490343443	9740.06090958802	7338.69813404961	13796.5657104563	10050.9001047641	12164.3115338977	12192.0743598711	3912.95775834243	8127.44826774746	8741.26182592965	9438.41405777584	11268.8113342045	9494.16502214689	18189.4117213221	11464.1742198867	8706.49031950239	8130.0680009192	16011.2809869174	8778.86976708596	11482.0573684229	8212.02443291788	8847.21552940061	10128.5603333144	9421.46011507616	10957.4952375359	10755.3972291433	8903.37599073077	7704.37618797969	9580.82486992975	10114.3194891763	8720.08138982098	9034.4841925686	9414.99491416603	9425.31365995548	8345.34644812195	10007.8475992913	10569.8888343775	11309.6099204871	11095.6185460901	5022.14298920118	10749.698269054	10507.3644776135	11634.9744380852	8509.45270022423	9877.11095723521	10919.8214237682	8939.24257829387	9713.96959335912	8590.40211840754	14698.0352165132	23394.1292789555	10279.6738674327	9657.59911556802	10136.3282896775	7648.88016136308	23262.9975747341
Amino Acids and Derivatives; Aromatic amino acids and derivatives	18727.8418508974	14901.7885755379	8219.8704436732	9160.0968014829	6504.67620667457	11774.5194121805	19042.6281134143	13990.3977823556	14013.3552299175	14339.2777610583	17467.6850380018	16679.7590819063	15570.1754532898	13767.5063276427	17602.1262669603	22768.3457286115	16111.3488909159	18385.6110478552	20836.5070995701	15410.7282278145	16084.7436452533	14209.5752263465	19175.3362458328	16584.7409978863	19488.2847291824	16125.6716343677	17382.1104564587	13281.9190230527	13866.8859153496	17292.4171358661	9983.78188187334	12117.6683593086	11103.4697728073	23311.3285047303	15728.2265500511	13199.249880225	15766.4303481069	23658.0234012139	18114.0910375412	19794.236119662	21520.1798237609	21328.3126990451	17039.3831961665	15546.9946833823	17815.1075821961	14467.9334914447	20531.8036692435	17231.0330452802	21723.3857547223	22013.2815477008	16296.8868700944	17175.7360755661	20265.091095015	15584.0435808788	22628.1946037592	19272.3823627851	13144.5444291759	16772.3449212853	16072.1884336382	9453.07896732575	15171.3164698149	17740.7733807358	20657.3880380427	16436.5954181065	21489.9204843318	18008.2551393678	17409.7196144316	10561.0668117026	9037.30759609681	18846.1757195948	18775.9261901353	23225.7277723316	22193.6485927066	21828.827016419	17910.3422714068	16080.4600700989	23103.0874560782	21957.4634478532	21411.9962441212	19378.1774472508	19378.7552561672	19545.1632974679	16376.9472260454	18821.6318362962	13386.9267783987	19742.3699854258	15277.4819854548	21446.2568705562	20703.2391368996	10465.0781310723	20434.7481696356	20684.9397889868	15894.1855533601	12109.1743077804	17773.6778118701	15206.9751175239	19224.8380647584	19695.0750098085	20057.5004884509	16087.4366907457	20554.7145442873	13780.5738982385	13767.6782685705	20190.3493232651	22397.0159870442	11426.8039307252	21954.4047530325	21732.6133059193	17092.8325344871	15806.7897424574	21009.7953917323	20750.5148791652	19921.8394520917	19780.9349404802	22198.8210075982	16498.2952193343	24403.2916962231	20422.5789303347	20449.1942245998	21023.3736023878	19297.1641297885	13328.9878656466	20987.5690105054	18583.1610379012	17592.4743476908	18055.1159737545	15910.0144688336
Amino Acids and Derivatives; Branched-chain amino acids	11404.437641316	9739.59043593958	15452.2320100658	13671.9174325771	14454.3533825781	11331.9516202429	9683.39664270094	9782.66156285401	8205.54910249532	9965.27134365536	10431.0639287196	9590.96642701773	8397.52635296798	8693.69748830468	9573.78912938629	12246.1961797546	10483.1730149066	10272.9270707039	10918.6484943423	8823.02794601437	9435.64134465799	10458.8600408429	9879.72004284073	9671.77748565811	11097.1084681211	9296.38783658056	11243.8634363817	7221.92354222626	7301.57415731719	9988.9736434051	4824.13300235428	7237.67633692621	13259.0745736615	13030.4328949545	12174.5168072753	10039.4938661722	8935.24810762018	12073.490778432	10927.0005534268	10865.8450139669	10405.368748829	11747.3937136494	10747.365493182	8099.58691708397	9605.15920700032	10938.5569396542	14062.0454568187	7837.4476871959	18434.2697335445	13527.5751460741	10209.5648989494	12254.0076166189	12663.7195135464	14573.8336897681	13178.9514357421	11404.1086530565	10252.0916719242	10113.4736540287	9461.24018387681	11532.7563401374	7500.68154258633	9556.61231127155	11781.1149463067	10063.6772563384	11713.5129161614	10937.6158444101	9523.17689640559	4369.99488289811	2760.63872826055	9089.96419294049	10434.1897993723	12513.3003293631	12107.9711851196	12435.6461057413	11133.0942805475	9475.38683889204	12811.1196647468	11476.5936055141	12172.8121632102	9516.41568181712	10849.6513818858	11999.9744362274	9283.52822315568	10384.8303071239	12354.3925156702	11479.3597837046	8284.26201808167	11624.9788187874	13634.5230792115	5316.45546545219	11669.8216422405	11805.193584379	8549.33618372611	5122.33554653745	10228.3838738129	10176.4884131091	11213.5426651344	11367.9277182082	11509.3614653708	8948.69279385799	11251.9147896997	7383.62748497468	7003.35228470429	10810.2612050092	12455.6054198853	4846.46110275553	11561.7389621725	11824.1123980334	7713.28301602523	9219.51693250358	12142.905087422	12248.9126751281	10794.3540424529	11272.767482897	11778.0832635752	7661.6941690951	10017.2925422883	7747.96426776899	11819.3128948232	12126.3946655457	13633.923036579	9227.07939803803	11659.7658130631	12224.1391544998	11079.4300072857	9573.03085639035	13154.445332766
Amino Acids and Derivatives; Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	5265.43492536992	4429.22663050428	2338.37680035408	3177.91804137865	2028.77915447862	3965.20139445237	5479.08186354848	3805.56857418659	6042.07329006089	4319.16656813618	4763.91599605755	5443.57351107664	6541.29946535284	4523.41666974459	4944.45567040271	4372.2594937963	5032.15422147103	5235.270178578	4773.40166377464	5189.46313805313	6362.01989639359	3841.97812093447	5210.10354501363	6385.86567440934	6251.06830707332	5589.21780164388	4923.32835479723	5772.06610436707	5218.52137239082	5854.71300388601	6270.3669073662	7658.80202709562	4350.39143519855	4771.82164816625	6849.62697726184	6423.9553617552	6295.85243290388	6434.33081450072	5764.90220519671	5019.73470737131	5221.31459430846	5212.72644141266	6833.62921612524	6230.03757408035	5892.63657057679	7639.62282614424	5069.02498761199	5958.0055846788	3527.75675390312	7654.31312531094	5797.91364875741	5297.02666361002	7877.14200616961	5083.19560645563	4222.0686924516	4352.40932713804	6127.96403833243	5479.98978050271	6079.69964150546	4797.61526537209	5674.56692330331	6072.71758644905	5767.61606415692	7103.20839629851	4895.27665041919	4782.83870814024	4898.03740818393	7386.35881981441	9236.46923666417	5504.76441221731	7907.11082240537	5824.02130163743	5268.65318010869	5926.03503304914	4757.3976693196	5792.93642034559	4987.21329075263	4992.74829781824	6302.77023207896	5679.70761792634	5969.90530400659	5114.43641298936	5517.65550813287	5637.84552101041	6594.84093055005	5060.14606457345	5358.96063780274	5619.05061317347	3903.3354953987	6254.0128151185	4687.04910480157	5883.08084795541	5036.21689153481	5330.0367813886	6245.68237012964	6297.39708400225	5772.30106987503	5925.9076286747	5958.16027743063	6168.58110371884	4696.3135371303	5575.40258473231	4195.63846308453	5613.83774013232	6693.87241941517	5203.99758332377	5211.79463284302	4894.5683017067	4951.26419001523	7809.17541307731	7367.07111138664	5085.04081201391	5222.00955276638	5531.91547136611	5792.2671666818	4988.84006078188	4750.78087643558	5287.36571642275	5296.5126498693	5491.41325930013	3402.99337525184	3523.80465759681	6071.35212585079	6159.19210913799	4986.11774999189	5767.36341213283	3983.4241443522
Amino Acids and Derivatives; Histidine Metabolism	3804.79833300194	8805.87643091002	6473.37533954774	6383.87345909076	5839.85027644313	5986.90361290729	5553.54633551759	11339.8334147816	4171.37376264321	10634.9813466638	6427.40778170083	5310.5252709874	4736.02677463823	3238.15270337696	4749.57706328335	7383.41709319267	4302.79070877944	6199.33711971769	7038.81268149963	4345.15568514942	8589.36862407517	11223.0009827253	5810.65750763575	4211.16751064449	5405.48066740104	4415.67895428258	8064.19445540093	3802.86766528443	2789.3483178464	5343.12518031652	4669.20244381524	4423.884914795	6281.32352609787	4162.4830428548	6356.55908816926	5775.89237625225	4568.54269961247	5965.17679248042	4484.09755923239	5431.0109025324	4106.11505542313	5930.84205165375	4528.82253750921	4173.27696583559	3903.06117907973	5984.2609004766	6640.57047638924	5817.85967814512	6707.56677403585	3942.75623914463	5666.50281312359	5918.67072700846	2846.30747682315	7212.2283410863	2131.41927988662	2781.36912752876	5000.2813423178	6122.86305379316	6973.78412556558	6865.92051311028	3790.8886685235	6023.42417421912	4654.49953401707	4053.95701385154	7911.59269349773	3975.33512864949	4185.03744586983	4261.51415352614	3459.98300022009	5083.23056996827	3558.61912304225	5800.18816436079	4574.06833280612	4546.81853495803	6383.64642405362	6693.67404734242	4822.31410872317	6112.34761960218	4556.99016750427	3625.51026945324	4362.10171587529	5003.43582000768	4488.34142375511	3498.40132098063	6963.6031672388	3859.97997654499	4426.42988814341	6103.61027621857	3283.80639951608	6615.70939203632	4687.90028960223	3449.54210067656	2684.86880511301	4676.73947139844	4327.50847139806	4853.79101286762	4288.47355002111	4385.64276180394	3988.72125858089	4857.06763100982	7591.91579358935	6225.95642981135	3904.88511270156	5358.40864625041	4279.0027027084	2922.56839776046	4137.36830288659	5754.79883671778	2804.69216598453	4294.37091187248	4722.43392720446	4251.59596561214	5157.38506732567	6942.54637372908	6200.49926940107	5048.41967177044	3468.51185658417	2612.5259392988	4190.19809831	5336.13339565492	2294.8842807765	14164.558395076	4127.43550062769	3118.65483768479	3488.67028530611	5307.13459674189	6936.80120836094
Amino Acids and Derivatives; Lysine, threonine, methionine, and cysteine	17766.2201673439	17986.9048820061	20046.2837502018	19918.9168840698	21756.7172843331	23255.1276919831	18944.3035465537	19773.1316735844	15032.4095742739	19493.9488602427	17577.49442096	17974.6433107573	17741.5076506002	17082.7676543879	18912.0143627832	16016.2078474277	17660.9058433099	16229.8297411048	16030.4230337669	17598.9215573169	17719.1024888461	19597.5985296669	16603.6714968452	17167.2888557792	17309.2704269499	18035.7285009133	19159.7137298326	17336.3760610626	13034.7473223261	17334.572048447	16859.3517239177	15807.5967757594	20441.1147183818	19835.9139145493	21667.3139344102	16371.2897170561	16303.7011444488	20195.4531131435	17720.5913814934	16629.6340516964	17408.8755217648	17062.4934907542	18510.0056193118	16822.9697513347	17796.9079809722	20679.6138205029	21920.2209725779	18002.2606046415	29373.1624707823	20256.7180791663	17701.9768383456	21425.1194406455	19116.8069556306	18321.9380928059	16485.1672978651	15863.0203972529	16860.20331572	16898.5634958842	21509.1128129531	20633.2994301855	17405.3909405761	17134.9693325998	19377.1636015698	18195.5036032086	16418.8198074875	17390.7245590794	17739.0239712665	17388.1339590223	17026.5920756715	17222.1533541268	18392.373255066	18572.265782037	17215.1336929442	18608.0319245664	21329.0873558638	17212.7527377484	18693.3189904451	20324.6207531673	19524.0111164189	17078.2498340648	18887.2444605775	19259.099785803	15773.105197509	16724.1815945823	21847.0185573163	18216.3477591386	16509.6946492314	17628.3951642002	16359.353814864	14924.3885289264	17036.463785091	18429.4953121718	17787.4032137759	14259.2667204062	18761.5644440731	17715.8487303213	17355.400535201	18234.4288457461	18537.6932982885	17259.3607119618	15530.1433818634	16080.0034158512	13569.8983732518	18919.8527673623	20052.0822508387	13381.3663965915	19480.557936662	18106.6794555911	14803.0942563529	19045.9340803322	20614.0486695595	18271.2072547898	18120.1455829643	19872.0523919311	18157.3313637651	16554.1034866606	17111.5085547956	15663.2514981506	18118.662408093	19029.7759051164	14673.5743670649	19906.8400487709	20895.1658544484	17499.8467887733	20218.5347469648	18401.2611578342	21306.6528620748
Amino Acids and Derivatives; Proline and 4-hydroxyproline	3519.88144673038	5034.32059520609	6084.29155049196	5212.89452886522	6108.91775818834	5523.82819533435	3708.14716487004	5875.76870274835	3190.09772355381	5379.72137111141	4150.80926566007	4139.94688326008	2400.14032671926	4071.91833263754	4365.51337313671	2672.40523649618	3560.2340223321	3427.97903045805	3124.79182745462	4006.56908220287	4363.99481797005	5650.21810033331	3688.95025057599	3547.67485007108	3821.01747847422	3618.97201857075	4866.54620044568	3517.53371684312	2017.47927609454	3624.57328327628	2862.37434056656	2826.47745423099	5071.93358082823	4731.18860782629	4478.33424094343	1644.84135251911	3443.68863515086	3505.17064327008	3552.60540853666	3634.47362685493	2629.65704469231	2711.20664732364	2593.30547103482	2407.15678378115	2851.87865138615	4660.66951607715	5393.93764568841	6602.27253396636	7839.36956008033	3748.98604386604	3827.34677653383	4821.29987291521	4932.60940695685	5414.91652533762	3471.86640412343	3616.91802639622	3247.9366115609	4325.61573365017	3733.14890267879	5000.18124324336	2831.44319568957	3072.5193708377	3623.54023875189	4654.53110605118	2749.78319394208	3947.00948530758	4273.705727939	5074.86675498289	5836.56023289625	3701.12340896064	4531.48926401162	3075.82314552739	2707.92765828326	3078.15516768038	4220.68171332014	4507.46851114674	4175.60387527545	4853.0391991426	2969.90322261223	2414.3627461772	3638.19193885401	4364.64728353733	3328.77587136867	3076.35602210613	3421.77052183286	3806.79260244095	3137.88019660617	3247.24941567269	3941.91556334541	2984.23751084657	3797.77378431825	2747.89692330111	3115.24268287033	3670.10966721359	3322.36857297925	3151.79344363539	3267.71608610675	3786.42634461587	3687.84076796009	3271.10526621899	2981.49949748241	2581.38693884629	3313.23585320132	3636.55552206724	5620.76715030422	3187.18477491345	4272.55759329648	3848.72385456135	3691.84939567975	3422.15106341307	3854.38573823606	3815.43767513988	3562.84904098419	4785.77819508096	3651.23322560624	3613.25198354582	3170.52171726794	1930.7646709269	3771.57863856923	3548.18239150641	4157.36597223837	6594.13252711488	4626.617358515	3871.8593714469	4961.35989049425	3889.73593463382	5768.30727486023
Carbohydrates; 	1.1865768845904	2.49517159789658	0	0	28.9579352550899	0	2.62198844961644	0	0	0.47096895393178	0.875390354796501	3.39085131384348	0	0	0	0	0	12.1976905384924	5.47389984715632	12.6530633627086	0	0	0.780331100617179	14.2643987940536	6.21121302350582	8.40144401619366	0	5.61607299123436	4.14834669519096	2.0977563132688	1.62486165221856	7.08057605569058	10.5692807102438	3.13999575764148	0	0	2.14530336515247	0	12.6954332645741	0.855942291522926	7.99321599264771	2.45984158532341	0	3.13874621377527	6.70091767038983	0	0	0	0	1.05789005611608	1.29962680056045	0	6.07437495688928	0	0	0	0	0	78.5926084774483	0	6.90961043402505	1.5685455819813	0	0	0	3.50822188179559	2.26002418188207	55.6311432676777	0	0.588523055515433	32.0156805688832	0	1.0664981423545	0	42.2648276809989	82.3281919844155	9.23032641485011	0.994033905535644	8.92011647038548	0	0	2.75208081772768	3.37532725982712	1.29614157406309	0	2.02137288756447	0	0.580297736233393	1.93476161643196	0	0.851184800654059	0	0	0	9.66182908086354	4.03056957020618	20.4462275441544	0	0	5.61346306786047	0.996157533405415	1.35922085415338	0	0.86189619531131	4.37555665284791	0	0	2.07315391110924	0	34.8619373347996	0	1.66366798654388	2.80903326107063	12.6719634468163	0	0	0	0	3.8042316266984	1.60745200460877	0	0	14.1795124384101	0	0	4.21546871514355	6.54374052735137
