PMID	Sample Type	Journal	Article Title	Abstract	Number of samples/patients
37598041	fecal 16S	Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society	The association between gut microbiome and growth in infants with cystic fibrosis.	"In cystic fibrosis (CF), pathophysiologic changes in the gastrointestinal tract lead to malnutrition and altered gut microbiome. Microbiome alterations have been linked to linear growth, gut inflammation and respiratory manifestations. Elucidating these gut microbiome alterations may provide insight into future nutritional management in CF. Infants were followed for 12-months at four sites in the United States (US-CF) and Australia (AUS-CF). 16S rRNA gene sequencing was performed on longitudinal stool samples. Associations between microbial abundance and age, antibiotic prophylaxis, malnutrition, and breast feeding were evaluated using generalized linear mixed models. Taxonomic and predictive functional features were compared between groups. Infants with CF (N = 78) were enrolled as part of a larger study. AUS-CF infants had higher mean weight-for-age z-scores than US-CF infants (p = 0.02). A subset of participants (CF N = 40, non-CF disease controls N = 10) provided stool samples for microbiome analysis. AUS-CF infants had lower stool alpha diversity compared to US-CF infants (p < 0.001). AUS-CF infants had higher relative abundance of stool Proteobacteria compared to US-CF infants which was associated with antibiotic prophylaxis (p < 0.001). Malnutrition (weight-for-age <10th percentile) was associated with depleted Lactococcus (p < 0.001). Antibiotic prophylaxis (p = 0.002) and malnutrition (p = 0.012) were linked with predicted decreased activity of metabolic pathways responsible for short chain fatty acid processing. In infants with CF, gut microbiome composition and diversity differed between the two continents. Gut microbial diversity was not linked to growth. The relationship between malnutrition and antibiotic prophylaxis with reduced SCFA fermentation could have implications for gut health and function and warrants additional investigation."	78
31992345	fecal 16S	Genome medicine	Interactions between the gut microbiome and host gene regulation in cystic fibrosis.	"Cystic fibrosis is the most common autosomal recessive genetic disease in Caucasians. It is caused by mutations in the CFTR gene, leading to poor hydration of mucus and impairment of the respiratory, digestive, and reproductive organ functions. Advancements in medical care have led to markedly increased longevity of patients with cystic fibrosis, but new complications have emerged, such as early onset of colorectal cancer. Although the pathogenesis of colorectal cancer in cystic fibrosis remains unclear, altered host-microbe interactions might play a critical role. To investigate this, we characterized changes in the microbiome and host gene expression in the colonic mucosa of cystic fibrosis patients relative to healthy controls, and identified host gene-microbiome interactions in the colon of cystic fibrosis patients. We performed RNA-seq on colonic mucosa samples from cystic fibrosis patients and healthy controls to determine differentially expressed host genes. We also performed 16S rRNA sequencing to characterize the colonic mucosal microbiome and identify gut microbes that are differentially abundant between patients and healthy controls. Lastly, we modeled associations between relative abundances of specific bacterial taxa in the gut mucosa and host gene expression. We find that 1543 genes, including CFTR, show differential expression in the colon of cystic fibrosis patients compared to healthy controls. These genes are enriched with functions related to gastrointestinal and colorectal cancer, such as metastasis of colorectal cancer, tumor suppression, p53, and mTOR signaling pathways. In addition, patients with cystic fibrosis show decreased gut microbial diversity, decreased abundance of butyrate producing bacteria, such as Ruminococcaceae and Butyricimonas, and increased abundance of other taxa, such as Actinobacteria and Clostridium. An integrative analysis identified colorectal cancer-related genes, including LCN2 and DUOX2, for which gene expression is correlated with the abundance of colorectal cancer-associated bacteria, such as Ruminococcaceae and Veillonella. In addition to characterizing host gene expression and mucosal microbiome in cystic fibrosis patients, our study explored the potential role of host-microbe interactions in the etiology of colorectal cancer in cystic fibrosis. Our results provide biomarkers that may potentially serve as targets for stratifying risk of colorectal cancer in patients with cystic fibrosis."	?
37607068	fecal 16S	Microbiology spectrum	Tezacaftor/Ivacaftor therapy has negligible effects on the cystic fibrosis gut microbiome.	"People with cystic fibrosis (pwCF) experience a range of persistent gastrointestinal symptoms throughout life. There is evidence indicating interaction between the microbiota and gut pathophysiology in CF. However, there is a paucity of knowledge on the potential effects of CF transmembrane conductance regulator (CFTR) modulator therapies on the gut microbiome. In a pilot study, we investigated the impact of Tezacaftor/Ivacaftor dual combination CFTR modulator therapy on the gut microbiota and metabolomic functioning in pwCF. Fecal samples from 12 pwCF taken at baseline and following placebo or Tezacaftor/Ivacaftor administration were subjected to microbiota sequencing and to targeted metabolomics to assess the short-chain fatty acid (SCFA) composition. Ten healthy matched controls were included as a comparison. Inflammatory calprotectin levels and patient symptoms were also investigated. No significant differences were observed in overall gut microbiota characteristics between any of the study stages, extended also across intestinal inflammation, gut symptoms, and SCFA-targeted metabolomics. However, microbiota and SCFA metabolomic compositions, in pwCF, were significantly different from controls in all study treatment stages. CFTR modulator therapy with Tezacaftor/Ivacaftor had negligible effects on both the gut microbiota and SCFA composition across the course of the study and did not alter toward compositions observed in healthy controls. Future longitudinal CFTR modulator studies will investigate more effective CFTR modulators and should use prolonged sampling periods, to determine whether longer-term changes occur in the CF gut microbiome. IMPORTANCE People with cystic fibrosis (pwCF) experience persistent gastrointestinal (GI) symptoms throughout life. The research question ""how can we relieve gastrointestinal symptoms, such as stomach pain, bloating, and nausea?"" remains a top priority for clinical research in CF. While CF transmembrane conductance regulator (CFTR) modulator therapies are understood to correct underlying issues of CF disease and increasing the numbers of pwCF are now receiving some form of CFTR modulator treatment. It is not known how these therapies affect the gut microbiome or GI system. In this pilot study, we investigated, for the first time, effects of the dual combination CFTR modulator medicine, Tezacaftor/Ivacaftor. We found it had negligible effects on patient GI symptoms, intestinal inflammation, or gut microbiome composition and functioning. Our findings are important as they fill important knowledge gaps on the relative effectiveness of these widely used treatments. We are now investigating triple combination CFTR modulators with prolonged sampling periods."	12
35764510	fecal 16S	Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society	"Modulation, microbiota and inflammation in the adult CF gut: A prospective study."	"Cystic Fibrosis (CF) has prominent gastrointestinal and pancreatic manifestations. The aim of this study was to determine the effect of Cystic fibrosis transmembrane conductance regulator (CFTR) modulation on, gastrointestinal inflammation, pancreatic function and gut microbiota composition in people with cystic fibrosis (CF) and the G551D-CFTR mutation. Fourteen adult patients with the G551D-CFTR mutation were assessed clinically at baseline and for up to 1 year after treatment with ivacaftor. The change in gut inflammatory markers (calprotectin and lactoferrin), exocrine pancreatic status and gut microbiota composition and structure were assessed in stool samples. There was no significant change in faecal calprotectin nor lactoferrin in patients with treatment while all patients remained severely pancreatic insufficient. There was no significant change in gut microbiota diversity and richness following treatment. There was no significant change in gut inflammation after partial restoration of CFTR function with ivacaftor, suggesting that excess gut inflammation in CF is multi-factorial in aetiology. In this adult cohort, exocrine pancreatic function was irreversibly lost. Longer term follow-up may reveal more dynamic changes in the gut microbiota and possible restoration of CFTR function."	14
36717332	fecal 16S	Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society	"The gut microbiome, short chain fatty acids, and related metabolites in cystic fibrosis patients with and without colonic adenomas."	"Adults with cystic fibrosis (CF) are at increased risk for colon cancer. CF patients have reductions in intestinal bacteria that produce short chain fatty acids (SCFAs), although it is unclear whether this corresponds with intestinal SCFA levels and the presence of colonic neoplasia. The aim of this study was to compare gut microbiome and SCFA composition in patients with and without CF, and to assess associations with colonic adenomas. Colonic aspirates were obtained from adults with and without CF undergoing colon cancer screening or surveillance colonoscopy. Microbiome characterization was performed by 16S rRNA V3-V4 sequencing. Targeted profiling of SCFAs and related metabolites was performed by LC-MS. 42 patients (21 CF, 21 control) were enrolled. CF patients had significantly reduced alpha diversity and decreased relative abundance of many SCFA-producing taxa. There were no significant differences in SCFA levels in CF patients, although there were reduced levels of branched chain fatty acids (BCFAs) and related metabolites. CF patients with adenomas, but not controls with adenomas, had significantly increased relative abundance of Bacteroides fragilis. CF microbiome composition was significantly associated with isovalerate concentration and the presence of adenomas. CF patients have marked disturbances in the gut microbiome, and CF patients with adenomas had notably increased relative abundance of B. fragilis, a pathogen known to promote colon cancer. Reductions in BCFAs but not SCFAs were found in CF. Further studies are warranted to evaluate the role of B. fragilis as well the biological significance of reductions in BCFAs in CF."	42
36255300	fecal 16S	Microbiology spectrum	Statistical Evaluation of Metaproteomics and 16S rRNA Amplicon Sequencing Techniques for Study of Gut Microbiota Establishment in Infants with Cystic Fibrosis.	"Newborn screening for cystic fibrosis (CF) can identify affected but asymptomatic infants. The selection of omic technique for gut microbiota study is crucial due to both the small amount of feces available and the low microorganism load. Our aims were to compare the agreement between 16S rRNA amplicon sequencing and metaproteomics by a robust statistical analysis, including both presence and abundance of taxa, to describe the sequential establishment of the gut microbiota during the first year of life in a small size sample (8 infants and 28 fecal samples). The taxonomic assignations by the two techniques were similar, whereas certain discrepancies were observed in the abundance detection, mostly the lower predicted relative abundance of  and the higher predicted relative abundance of certain  and  by amplicon sequencing. During the first months of life, the CF gut microbiota is characterized by a significant enrichment of Ruminococcus gnavus, the expression of certain virulent bacterial traits, and the detection of human inflammation-related proteins. Metaproteomics provides information on composition and functionality, as well as data on host-microbiome interactions. Its strength is the identification and quantification of  and certain classes of , but alpha diversity indices are not comparable to those of amplicon sequencing. Both techniques detected an aberrant microbiota in our small cohort of infants with CF during their first year of life, dominated by the enrichment of  within a human inflammatory environment.  In recent years, some techniques have been incorporated for the study of microbial ecosystems, being 16S rRNA gene sequencing being the most widely used. Metaproteomics provides the advantage of identifying the interaction between microorganisms and human cells, but the available databases are less extensive as well as imprecise. Few studies compare the statistical differences between the two techniques to define the composition of an ecosystem. Our work shows that the two methods are comparable in terms of microorganism identification but provide different results in alpha diversity analysis. On the other hand, we have studied newborns with cystic fibrosis, for whom we have described the establishment of an intestinal ecosystem marked by the inflammatory response of the host and the enrichment of Ruminococcus gnavus."	28
37953184	fecal 16S	Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society	The relationship between the intestinal microbiome and body mass index in children with cystic fibrosis.	"The nutritional status of children with cystic fibrosis (CF), as assessed by their body mass index percentile (BMIp), is a critical determinant of long-term health outcomes. While the intestinal microbiome plays an important role in nutrition, little is known regarding the relationship of the microbiome and BMIp in children with CF. Pediatric patients (< 18 years old) with CF and healthy comparison patients (HCs) were enrolled in the study and stool samples obtained. BMIp was categorized as Green Zone (BMIp > 50th), Yellow Zone (BMIp 25th-49th) and Red Zone (BMIp < 25th). Intestinal microbiome assessment was performed via 16S rRNA gene sequencing; microbial richness, diversity, and differential species abundance were assessed. Stool samples were collected from 107 children with CF and 50 age-matched HCs. Compared to HCs, children with CF were found to have lower bacterial richness, alpha-diversity, and a different microbial composition. When evaluating them by their BMIp color zone, richness and alpha-diversity were lowest in those in the Red Zone. In addition, an unclassified amplicon sequence variant (ASV) of Blautia, a known butyrate-producing anaerobe, was of lowest abundance in children in the Red Zone. Children with CF have a dysbiotic intestinal microbiome with specific changes that accompany changes in BMIp. Longitudinal assessments of the microbiome and its metabolic activities over time are needed to better understand how improvements in the microbiome may improve nutrition and enhance long-term survival in children with CF."	107
32275127	fecal 16S	Pediatric pulmonology	Age and environmental exposures influence the fecal bacteriome of young children with cystic fibrosis.	"Mechanisms that facilitate early infection and inflammation in cystic fibrosis (CF) are unclear. We previously showed that young CF children with secondhand smoke exposure (SHSe) have increased susceptibility to respiratory infections. We aimed to define the impact of SHSe and other external factors upon the fecal bacteriome in early CF. Twenty CF infants and children were enrolled, clinical data recorded, and hair nicotine measured as an objective surrogate of SHSe. Fecal samples were collected at clinic visits and bacteriome 16S rRNA gene sequencing performed. SHSe was associated with increased alpha diversity and increased relative abundance of Acinetobacter and Akkermansia, along with decreased Bifidobacterium and Lactobacillus. Recent antibiotic exposure predicted bacterial population structure in children less than 2 years of age and was associated with decreased Bacteroides relative abundance. Age was the strongest predictor of overall fecal bacterial composition and positively associated with Blautia and Parabacteroides. Weight for length was negatively associated with Staphylococcus relative abundance. SHSe and other external factors such as antibiotics appear to alter fecal bacterial composition in young CF children, but the strongest predictor of overall composition was age. These findings have implications for understanding the intestinal microbiome in young CF children."	20
32487494	fecal 16S	Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society	Development of the gut microbiota in early life: The impact of cystic fibrosis and antibiotic treatment.	"Patients with Cystic Fibrosis (CF) suffer from pancreatic insufficiency, lipid malabsorption and gastrointestinal complaints, next to progressive pulmonary disease. Altered mucosal homoeostasis due to malfunctioning chloride channels results in an adapted microbial composition of the gastrointestinal and the respiratory tract. Additionally, antibiotic treatment has the potential to distort resident microbial communities dramatically. This study aims to investigate early life development of the gut microbial community composition of children with CF compared to healthy infants and to study the independent effects of antibiotics taking into account other clinical and lifestyle factors. Faecal samples from 20 infants with CF and 45 healthy infants were collected regularly during the first 18 months of life and microbial composition was determined using 16S rRNA based sequencing. We observed significant differences in the overall microbiota composition between infants with CF and healthy infants (p<0.001). Akkermansia and Anaerostipes were significantly more abundant in control infants, whereas Streptococci and E. coli were significantly more abundant in infants with CF, also after correction for several clinical factors (p<0.05). Antibiotic use in infants with CF was associated with a lower alpha diversity, a reduced abundance of Bifidobacterium and Bacteroides, and a higher abundance of Enterococcus. Microbial development of the gut is different in infants with CF compared to healthy infants from the first months of life on, and further deviates over time, in part as a result of antibiotic treatment. The resulting dysbiosis may have significant functional consequences for the microbial ecosystem in CF patients."	20
28279152	fecal 16S	BMC microbiology	The altered gut microbiota in adults with cystic fibrosis.	"Cystic Fibrosis (CF) is an autosomal recessive disease that affects the function of a number of organs, principally the lungs, but also the gastrointestinal tract. The manifestations of cystic fibrosis transmembrane conductance regulator (CFTR) dysfunction in the gastrointestinal tract, as well as frequent antibiotic exposure, undoubtedly disrupts the gut microbiota. To analyse the effects of CF and its management on the microbiome, we compared the gut microbiota of 43 individuals with CF during a period of stability, to that of 69 non-CF controls using 454-pyrosequencing of the 16S rRNA gene. The impact of clinical parameters, including antibiotic therapy, on the results was also assessed. The CF-associated microbiome had reduced microbial diversity, an increase in Firmicutes and a reduction in Bacteroidetes compared to the non-CF controls. While the greatest number of differences in taxonomic abundances of the intestinal microbiota was observed between individuals with CF and the healthy controls, gut microbiota differences were also reported between people with CF when grouped by clinical parameters including % predicted FEV (measure of lung dysfunction) and the number of intravenous (IV) antibiotic courses in the previous 12 months. Notably, CF individuals presenting with severe lung dysfunction (% predicted FEV ≤ 40%) had significantly (p < 0.05) reduced gut microbiota diversity relative to those presenting with mild or moderate dysfunction. A significant negative correlation (-0.383, Simpson's Diversity Index) was also observed between the number of IV antibiotic courses and gut microbiota diversity. This is one of the largest single-centre studies on gut microbiota in stable adults with CF and demonstrates the significantly altered gut microbiota, including reduced microbial diversity seen in CF patients compared to healthy controls. The data show the impact that CF and it's management have on gut microbiota, presenting the opportunity to develop CF specific probiotics to minimise microbiota alterations."	43
